,Unnamed: 0,ID,ProdID,Rating,ReviewCount,Category,Brand,Name,ImageURL,Description,Tags
8,8,507,-9223372036854775808,5.0,1,"beauty, hair, care, hair, care, brands, suave",sauve,Suave Extra Hold 7 Shaping Mousse 9 oz (Pack of 6),https://i5.walmartimages.com/asr/05f5ba16-335d-418d-9b33-45346f68200c_1.9c7d14bf0f0acf199e0c0781e1f90f54.jpeg,"free, shipping, pack, 6, pack, 6, upc, 079400816603, yes, beautiful, active, ingredients, water, aqua, isobutane, dimethyl, ether, propane, cocamidopropyl, betaine, glycerin, dmdm, hydantoin, fragrance, parfum, dimethiconol, tea, dodecylbenzenesulfonate, cyclomethicone, tocopherol, vitamin, e, panthenol, butylene, glycol, amp, isostearoyl, hydrolyzed, soy, protein, uses, provides, control, manageability, expensive, brands, extra, hold, formula, gives, hair, body, volume, lift, weightless, formula, leaves, hair, feeling, soft, manageable, vitamin, protein, enriched, formula, replenishes, hair, types, stiff, sticky, contains, cfcs","beauty, hair, care, hair, care, brands, suave, suave, free, shipping, pack, 6, pack, 6, upc, 079400816603, yes, beautiful, active, ingredients, water, aqua, isobutane, dimethyl, ether, propane, cocamidopropyl, betaine, glycerin, dmdm, hydantoin, fragrance, parfum, dimethiconol, tea, dodecylbenzenesulfonate, cyclomethicone, tocopherol, vitamin, e, panthenol, butylene, glycol, amp, isostearoyl, hydrolyzed, soy, protein, uses, provides, control, manageability, expensive, brands, extra, hold, formula, gives, hair, body, volume, lift, weightless, formula, leaves, hair, feeling, soft, manageable, vitamin, protein, enriched, formula, replenishes, hair, types, stiff, sticky, contains, cfcs"
12,12,39521,5956,3.8,184,"beauty, makeup, face, makeup, face, primer",paris,"LOreal Paris True Match Super-Blendable Blush, Soft Powder Texture, Soft Sun, 0.21 oz.","https://i5.walmartimages.com/asr/506a78ca-cca6-4cb4-a51b-53241ed4e534_1.43d7290679f9cdb4e354092889d668fb.jpeg | https://i5.walmartimages.com/asr/ff2d7255-4f12-44e7-a41e-f7907795059b_1.5e4583825d3ff02d1177198b1085fc29.jpeg","true, match, blush, flawlessly, complements, skins, tone, undertone, super, blendable, formula, soft, texture, goes, smooth, blends, evenly, skin, natural, flush, color, brighten, cheek, bones, coordinate, true, match, makeup, powder, concealer, packaging, vary, receive, reflected, site, true, match, super, blendable, blush, goes, smooth, blends, evenly, makeup, blush, comes, mirror, brush, inside, super, blendable, makeup, formula, oil, free, non, comedogenic, available, 12, natural, true, shades, precisely, match, skin, tone, undertone, warm, neutral, cool","beauty, makeup, face, makeup, face, primer, paris, true, match, blush, flawlessly, complements, skins, tone, undertone, super, blendable, formula, soft, texture, goes, smooth, blends, evenly, skin, natural, flush, color, brighten, cheek, bones, coordinate, true, match, makeup, powder, concealer, packaging, vary, receive, reflected, site, true, match, super, blendable, blush, goes, smooth, blends, evenly, makeup, blush, comes, mirror, brush, inside, super, blendable, makeup, formula, oil, free, non, comedogenic, available, 12, natural, true, shades, precisely, match, skin, tone, undertone, warm, neutral, cool"
19,19,49930,4704,4.5,249,"personal, care, personal, care, brand, crest",crest,"Crest Complete Whitening + Scope Toothpaste, 5 Ct, 5.8 Oz",https://i5.walmartimages.com/asr/cb17ccbd-526a-4213-ac40-407f6de87299_1.680edc2454c0a37d7f5e2d52ab1fc6a3.jpeg,"crest, complete, whitening, scope, toothpaste, benefits, cleans, teeth, freshens, breath, combining, crest, toothpaste, scope, helps, fight, germs, leaves, breath, feeling, fresh, 7x, longer, enjoy, day, regular, brushing, helps, fight, cavities, tartar, build, sugar, shield, technology, helps, strengthen, areas, weakened, sweets, crest, complete, whitening, toothpaste, 5, count, pack, gently, removes, surface, stains, helps, brighten, smile, feel, working, know, covered, oz, fresh, mint, toothpaste, use, bulk, pack, stock, master, bathroom, kids, space, guest, powder, room, smart, choice, linen, closet, toothpaste, family, guests, crest, complete, whitening, scope, toothpaste, mint, oz, 5, count, fresh, mint, taste, prevent, cavities, crest, complete, whitening, toothpaste, 5, count, pack, convenient, tube, fits, practically, sink, space, sugar, shield, formula, scope, keeps, breath, fresh, gently, whitens","personal, care, personal, care, brand, crest, crest, crest, complete, whitening, scope, toothpaste, benefits, cleans, teeth, freshens, breath, combining, crest, toothpaste, scope, helps, fight, germs, leaves, breath, feeling, fresh, 7x, longer, enjoy, day, regular, brushing, helps, fight, cavities, tartar, build, sugar, shield, technology, helps, strengthen, areas, weakened, sweets, crest, complete, whitening, toothpaste, 5, count, pack, gently, removes, surface, stains, helps, brighten, smile, feel, working, know, covered, oz, fresh, mint, toothpaste, use, bulk, pack, stock, master, bathroom, kids, space, guest, powder, room, smart, choice, linen, closet, toothpaste, family, guests, crest, complete, whitening, scope, toothpaste, mint, oz, 5, count, fresh, mint, taste, prevent, cavities, crest, complete, whitening, toothpaste, 5, count, pack, convenient, tube, fits, practically, sink, space, sugar, shield, formula, scope, keeps, breath, fresh, gently, whitens"
20,20,74743,7,4.0,6494,"beauty, hair, care, hair, color, permanent, hair, color",paris,"LOreal Paris Excellence Creme Permanent Triple Protection Hair Color, 2C Luscious Black, 1 Kit","https://i5.walmartimages.com/asr/5ffb3626-4031-4ec3-ac4d-cb0ff21f8cf9_2.c0764182e0f55cc5e35a127e2c8dca5e.jpeg | https://i5.walmartimages.com/asr/bf4e93e5-063c-48c5-bff7-939f578f1248_1.8a1e5b0d5927ba21e2089df799ceb6ac.jpeg | https://i5.walmartimages.com/asr/2d4ead4d-dbdf-418a-8aca-1c7f39596961_2.63457cd287f796c6ef91d45bcecf8ff2.jpeg | https://i5.walmartimages.com/asr/cd6cc37a-edc1-44dc-afc3-e3d190aa5708_2.ed2ab33b67deb491328d88cb11b979a9.jpeg | https://i5.walmartimages.com/asr/d3d51fca-e300-4c63-86c3-4e3005071503_2.579753ee382d21bbf708c91ed89f193e.jpeg | https://i5.walmartimages.com/asr/ecfb6c2f-79ec-464c-8613-4595f41e3d90_2.c19c6212eae61cad84e88d3ec2cfa794.jpeg | https://i5.walmartimages.com/asr/b5af72ff-899d-46fd-80a3-d96e96cf5209_2.939721b47ba110bbd5a2048621868997.jpeg | https://i5.walmartimages.com/asr/92200147-04d8-4527-a085-96e5975a4d40_1.3d3c65f7dab58373756dbbe535570399.jpeg | https://i5.walmartimages.com/asr/f2118e18-de00-49d6-9f3e-f5ceaee0a43f_2.2a61edec0c63105e85809c61f322c2df.jpeg","hair, color, kit, loreal, paris, makes, easy, look, want, provides, long, lasting, coverage, grays, loreal, paris, hair, color, seals, strands, replenishes, conditions, triple, protection, non, drip, formula, keeps, creme, place, working, rich, color, gives, eye, catching, look, draw, attention, simple, apply, rest, day, loreal, paris, excellence, creme, triple, protection, hair, color, kit, super, rich, care, super, rich, color, 100, percent, resistant, gray, coverage, 20, luscious, black, seals, replenishes, conditions, non, drip, creme, stays, place, womens, hair, color, easy, apply","beauty, hair, care, hair, color, permanent, hair, color, paris, hair, color, kit, loreal, paris, makes, easy, look, want, provides, long, lasting, coverage, grays, loreal, paris, hair, color, seals, strands, replenishes, conditions, triple, protection, non, drip, formula, keeps, creme, place, working, rich, color, gives, eye, catching, look, draw, attention, simple, apply, rest, day, loreal, paris, excellence, creme, triple, protection, hair, color, kit, super, rich, care, super, rich, color, 100, percent, resistant, gray, coverage, 20, luscious, black, seals, replenishes, conditions, non, drip, creme, stays, place, womens, hair, color, easy, apply"
21,21,11261,358,0.0,39,"patio, garden, garden, center, insect, pest, control",terro,TERRO Outdoor Liquid Ant Baits - 6 Traps,"https://i5.walmartimages.com/asr/2921aa69-a940-4a1f-b70f-a9f481c569c7_1.979cff5455445343c41c7562d3cb0ed0.jpeg | https://i5.walmartimages.com/asr/a62329bb-424c-4d6f-8c7f-ee1fa116767f_1.cc1541fee35a476e8dda7a715d6c9efb.jpeg","terro, outdoor, liquid, ant, baits, ideal, large, ant, infestations, attracts, kills, common, household, ants, including, argentine, ants, ghost, ants, cornfield, ants, pavement, ants, acrobat, ants, white, footed, ants, little, black, ants, odorous, house, ants, sweet, eating, pack, outdoor, liquid, ant, baits","patio, garden, garden, center, insect, pest, control, terro, terro, outdoor, liquid, ant, baits, ideal, large, ant, infestations, attracts, kills, common, household, ants, including, argentine, ants, ghost, ants, cornfield, ants, pavement, ants, acrobat, ants, white, footed, ants, little, black, ants, odorous, house, ants, sweet, eating, pack, outdoor, liquid, ant, baits"
34,34,6382,0,4.7,51,"personal, care, oral, care, crest",crest,Crest Kids Cavity Protection Blue Bubblegum Toothpaste Pump,https://i5.walmartimages.com/asr/c8f678fd-b578-4970-9c7b-400fab5e25b9_1.f40a3e49618e24f5beb20d074c3b66a3.png,"winning, formula, memorable, smiles, crest, kids, toothpaste, featuring, disneys, toy, story, 4, perfect, kids, toothpaste, little, space, ranger, oral, health, evolves, important, continue, effective, cavity, protection, lose, baby, teeth, permanent, teeth, start, grow, crest, toothpaste, protects, cavities, mild, paste, formula, comes, mess, easy, use, pump, perfect, kids, best, toothpaste, compatible, interactive, disney, magictimer, app, oral, b, help, kids, brush, dentist, recommended, 2, kids, cavity, protection, blue, bubblegum, toothpaste, pump","personal, care, oral, care, crest, crest, winning, formula, memorable, smiles, crest, kids, toothpaste, featuring, disneys, toy, story, 4, perfect, kids, toothpaste, little, space, ranger, oral, health, evolves, important, continue, effective, cavity, protection, lose, baby, teeth, permanent, teeth, start, grow, crest, toothpaste, protects, cavities, mild, paste, formula, comes, mess, easy, use, pump, perfect, kids, best, toothpaste, compatible, interactive, disney, magictimer, app, oral, b, help, kids, brush, dentist, recommended, 2, kids, cavity, protection, blue, bubblegum, toothpaste, pump"
36,36,83441,538,4.7,20,"household, essentials, cleaning, supplies, surface, care, protection",zud,"Zud Heavy Duty Cleanser, 16 Oz","https://i5.walmartimages.com/asr/1823e07e-558b-47b6-92a2-306b5d0bf5b8_1.457a691ce5f0c04cd7ac976fccb664fc.jpeg | https://i5.walmartimages.com/asr/0873e11d-8b14-4bb8-bdab-8a624b936417_1.d9008ce2fbe069938cbda3014a60a6f6.jpeg | https://i5.walmartimages.com/asr/5e595a61-08fa-4c11-97bb-4119796c3a04_1.d6b83b10a2c43898e0f1c7c12f58deda.jpeg","remove, tough, stains, easily, zud, heavy, duty, cleanser, powerful, formula, removes, rust, hard, water, deposits, tough, stains, rust, stain, remover, suitable, use, indoors, outdoors, use, kitchen, bathroom, clean, countertops, appliances, porcelain, stainless, steel, sinks, toilets, grouting, tile, zud, heavy, duty, cleanser, works, outdoor, clean, grills, hand, tools, aluminum, doors, windows, comes, convenient, 16, oz, zud, heavy, duty, cleanser, 16, oz, heavy, duty, cleanser, works, ordinary, cleaners, fail, removes, rust, tough, stains, suitable, kitchen, bathroom, outdoors, use, porcelain, stainless, steel, sinks, laminate, countertops, toilets, tubs, tile, grouting, effective, bbq, grills, hand, tools, fiberglass, boats, aluminum, doors, windows, net, weight, 16, oz","household, essentials, cleaning, supplies, surface, care, protection, zud, remove, tough, stains, easily, zud, heavy, duty, cleanser, powerful, formula, removes, rust, hard, water, deposits, tough, stains, rust, stain, remover, suitable, use, indoors, outdoors, use, kitchen, bathroom, clean, countertops, appliances, porcelain, stainless, steel, sinks, toilets, grouting, tile, zud, heavy, duty, cleanser, works, outdoor, clean, grills, hand, tools, aluminum, doors, windows, comes, convenient, 16, oz, zud, heavy, duty, cleanser, 16, oz, heavy, duty, cleanser, works, ordinary, cleaners, fail, removes, rust, tough, stains, suitable, kitchen, bathroom, outdoors, use, porcelain, stainless, steel, sinks, laminate, countertops, toilets, tubs, tile, grouting, effective, bbq, grills, hand, tools, fiberglass, boats, aluminum, doors, windows, net, weight, 16, oz"
38,38,448,2488301,4.4,227,"seasonal, stock, essentials, personal, care, stock, stock, oral, care",equate,"Equate easyflex flossing replacement toothbrush heads, 3 count","https://i5.walmartimages.com/asr/2dc69448-ef2a-4cc7-ab97-9f131af30c1e_1.885181403975d783d37352ec44353018.jpeg | https://i5.walmartimages.com/asr/060433ae-3d92-441d-8c28-ce2b3017f785_2.168d6dd524ee7936e6d37111c51d1e35.jpeg | https://i5.walmartimages.com/asr/041d6726-13b4-4549-8330-fcb10ca6b743_2.fb46739a68b6ea38fc8018c153b817ff.jpeg | https://i5.walmartimages.com/asr/d9fda269-cdf6-4def-8405-ee779a4c2c71_1.f6eaf85c767e93ca89d48ed52a9fb949.jpeg | https://i5.walmartimages.com/asr/9b1fba90-d117-45f0-8f38-816700a008f6_1.d3a8e808b47b9a58cfeb370a65fb0fbe.jpeg | https://i5.walmartimages.com/asr/3f3bae15-cd5e-4ecc-9fe8-5c6cf02181cc_1.3ce719abef37f5558c8c4b60757deae2.jpeg | https://i5.walmartimages.com/asr/c558dbdb-449e-4609-a599-f61e6e4e5f02_1.f902cf5606b5f569cd5e46784f5decd2.jpeg","equate, easyflex, flossing, replacement, toothbrush, heads, use, unique, bristles, best, reaching, deep, hard, reach, areas, provide, effective, cleaning, manual, toothbrush, heads, feature, flossing, action, improve, cleaning, power, oral, b, battery, powered, toothbrush, effectively, remove, food, particles, plaque, deep, teeth, superb, value, compatible, electric, toothbrush, brands, like, oral, stock, plenty, hand, old, head, needs, replaced, pick, pack, equate, easyflex, flossing, replacement, toothbrush, heads, today, outfit, family, making, right, health, decisions, challenging, complete, range, products, simple, solutions, equate, allows, care, family, confidence, equate, easyflex, flossing, replacement, toothbrush, heads, 3, count, replacement, toothbrush, heads, compatible, oral, b, power, toothbrushes, unique, flossing, bristles, penetrate, deep, teeth, effective, cleaning, replace, bristles, fade, indicate, time, toothbrush, head, replacement, identifier, color, rings, base, head, help, identify, toothbrush","seasonal, stock, essentials, personal, care, stock, stock, oral, care, equate, equate, easyflex, flossing, replacement, toothbrush, heads, use, unique, bristles, best, reaching, deep, hard, reach, areas, provide, effective, cleaning, manual, toothbrush, heads, feature, flossing, action, improve, cleaning, power, oral, b, battery, powered, toothbrush, effectively, remove, food, particles, plaque, deep, teeth, superb, value, compatible, electric, toothbrush, brands, like, oral, stock, plenty, hand, old, head, needs, replaced, pick, pack, equate, easyflex, flossing, replacement, toothbrush, heads, today, outfit, family, making, right, health, decisions, challenging, complete, range, products, simple, solutions, equate, allows, care, family, confidence, equate, easyflex, flossing, replacement, toothbrush, heads, 3, count, replacement, toothbrush, heads, compatible, oral, b, power, toothbrushes, unique, flossing, bristles, penetrate, deep, teeth, effective, cleaning, replace, bristles, fade, indicate, time, toothbrush, head, replacement, identifier, color, rings, base, head, help, identify, toothbrush"
40,40,363,30,4.1,176,"beauty, curl, shop, coily, hair, products",pantene,"Pantene Pro-V Repairing Mask Treatment, Gold Series, 7.6 Fl Oz","https://i5.walmartimages.com/asr/fbd2ba15-5051-4885-ac6a-ebf0a2a8a41d.24680a5f51b36a609c598fa95b0399bb.jpeg | https://i5.walmartimages.com/asr/e67bcb19-edbd-4da9-a87f-6edc0a57694d.ff688bb29b597f92ce178097825115a5.jpeg | https://i5.walmartimages.com/asr/109f4acf-039b-42cc-bb1c-4d05334f358c.d87209c62882248745a0639937f9cc0f.jpeg | https://i5.walmartimages.com/asr/0ba025f3-0a39-4d2e-b4b8-f43e0ac6b608.a0a275dd383a8505109cec8a3e9f03c5.jpeg | https://i5.walmartimages.com/asr/cef17376-74ec-4bbe-8e34-cd3f09338cb4.167b52aaa6eac45b203e772c1021e8f1.jpeg","experience, gold, standard, moisture, gold, series, pantene, repairing, mask, thoughtfully, developed, black, phd, scientists, perfected, black, hair, stylists, paraben, free, sulfate, free, dye, free, formula, infused, argan, oil, mask, penetrates, deep, hair, helping, restore, strength, damage, manageability, hair, types, try, gold, series, pantene, moisture, boost, shampoo, conditioner, optimal, hair, health, gold, series, pantene, sulfate, free, repairing, mask, treatment, argan, oil, curly, coily, hair, fl, oz, restores, hair, health, repairing, mask, offers, deep, moisture, replenish, help, restore, hair, health, strength, damage, water, activated, hair, types, helps, restore, strength, damage, allowing, deep, penetration, argan, oil, formula, paraben, free, sulfate, free, dye, free, formula, infused, argan, oil, thoughtfully, developed, gold, standard, moisture, developed, black, phd, scientists, perfected, black, hair, stylists, stylist, tip, apply, generous, palm, finger, comb, mid, shaft, tips, detangle, wide, tooth, comb, rinse, thoroughly","beauty, curl, shop, coily, hair, products, pantene, experience, gold, standard, moisture, gold, series, pantene, repairing, mask, thoughtfully, developed, black, phd, scientists, perfected, black, hair, stylists, paraben, free, sulfate, free, dye, free, formula, infused, argan, oil, mask, penetrates, deep, hair, helping, restore, strength, damage, manageability, hair, types, try, gold, series, pantene, moisture, boost, shampoo, conditioner, optimal, hair, health, gold, series, pantene, sulfate, free, repairing, mask, treatment, argan, oil, curly, coily, hair, fl, oz, restores, hair, health, repairing, mask, offers, deep, moisture, replenish, help, restore, hair, health, strength, damage, water, activated, hair, types, helps, restore, strength, damage, allowing, deep, penetration, argan, oil, formula, paraben, free, sulfate, free, dye, free, formula, infused, argan, oil, thoughtfully, developed, gold, standard, moisture, developed, black, phd, scientists, perfected, black, hair, stylists, stylist, tip, apply, generous, palm, finger, comb, mid, shaft, tips, detangle, wide, tooth, comb, rinse, thoroughly"
46,46,4518,2069,4.7,15,"personal, care, personal, care, brand, crest",crest,"Crest 3D White, Whitening Toothpaste, Radiant Mint, 4.8 Ounce, Pack of 3 NEW","https://i5.walmartimages.com/asr/41b5374e-1fab-40cd-99f3-e0ac654ed600_1.d13729a2aa054397cbab0d436ebdf9b5.jpeg | https://i5.walmartimages.com/asr/d1e42960-7114-4a4a-a298-e4a5cbd75451_1.0bebc48f328d568ea936211737f4dab3.jpeg | https://i5.walmartimages.com/asr/6b231dc7-fe00-4451-97f9-b97bf7085a49_1.43682222b2590565806855895731b9bd.jpeg | https://i5.walmartimages.com/asr/61fb13ad-552c-4102-bb18-5134c346c056_1.03f13df0cbc6aac56e2d47c81b657cfb.jpeg | https://i5.walmartimages.com/asr/8f1c8eab-a5da-402b-8c3a-186707b6a59b_1.1d01c59be33bb5a03a2ea393798f1837.jpeg | https://i5.walmartimages.com/asr/27e6a3fd-6418-4ad6-bc35-bcf54b1d0553_1.efa7d222d181cc2b8914271b81aee3f5.jpeg | https://i5.walmartimages.com/asr/b323cb86-40eb-474a-b31b-fd1f700fc85d_1.ac4b980950d9ba6e7c70189562ca472c.jpeg","brighten, smile, crest, 3d, white, radiant, mint, whitening, toothpaste, whitens, teeth, removing, 80, surface, stains, protects, futurestains, 3d, white, fluoride, toothpaste, strengthens, tooth, enamel, helps, protect","personal, care, personal, care, brand, crest, crest, brighten, smile, crest, 3d, white, radiant, mint, whitening, toothpaste, whitens, teeth, removing, 80, surface, stains, protects, futurestains, 3d, white, fluoride, toothpaste, strengthens, tooth, enamel, helps, protect"
